grid_lat,grid_lon,norm_demand,norm_competitor,norm_risk,total_score,cluster,dist_to_center_km,zone_type,annual_opex,est_cars_per_day,year_1_revenue,payback_years,is_viable,is_flood_safe,is_golden
13.549,100.2857,0.28325454240240844,0.0,0.0,0.11330181696096338,2,36.34942307745683,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.549,100.2908,0.28325454240240844,0.0,0.0,0.11330181696096338,2,35.937491614400614,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.549,100.6172,0.25306621587099964,0.0,0.0,0.10122648634839987,0,25.475768374859456,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.549,100.6223,0.25306621587099964,0.0,0.0,0.10122648634839987,0,25.665429383608096,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5535,100.2602,0.23777180903105172,0.0,0.0,0.09510872361242069,2,38.15081843785798,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5535,100.2653,0.23777180903105172,0.0,0.0,0.09510872361242069,2,37.71831976547334,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5535,100.2704,0.5783163041289648,0.0,0.0,0.23132652165158596,2,37.288948323628155,URBAN,120000.0,27.0,739125.0,2.32,True,True,True
13.5535,100.2755,0.42541952470202954,0.0,0.0,0.17016780988081182,2,36.862813388779074,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.5535,100.2806,0.42541952470202954,0.0,0.0,0.17016780988081182,2,36.44002850585702,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.5535,100.2857,0.40449168734150154,0.0,0.0,0.16179667493660063,2,36.0207116367498,URBAN,120000.0,22.0,602250.0,2.93,True,True,True
13.5535,100.2908,0.40449168734150154,0.0,0.0,0.16179667493660063,2,35.60498530927377,URBAN,120000.0,22.0,602250.0,2.93,True,True,True
13.5535,100.6172,0.2713332308092147,0.0,0.0,0.10853329232368587,0,25.00477303637973,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5535,100.6223,0.2713332308092147,0.0,0.0,0.10853329232368587,0,25.19797573619719,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.558,100.2602,0.23777180903105172,0.0,0.0,0.09510872361242069,2,37.84433644379399,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.558,100.2653,0.23777180903105172,0.0,0.0,0.09510872361242069,2,37.4083028729884,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.558,100.2704,0.5783163041289648,0.0,0.0,0.23132652165158596,2,36.97533986221702,URBAN,120000.0,27.0,739125.0,2.32,True,True,True
13.558,100.2755,0.42541952470202954,0.0,0.0,0.17016780988081182,2,36.545556544786585,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.558,100.2806,0.42541952470202954,0.0,0.0,0.17016780988081182,2,36.11906642715733,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.558,100.2857,0.40449168734150154,0.0,0.0,0.16179667493660063,2,35.695987549605405,URBAN,120000.0,22.0,602250.0,2.93,True,True,True
13.558,100.2908,0.40449168734150154,0.0,0.0,0.16179667493660063,2,35.27644264830007,URBAN,120000.0,22.0,602250.0,2.93,True,True,True
13.558,100.2959,0.30680312020734857,0.0,0.0,0.12272124808293944,2,34.86055931687839,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.558,100.6172,0.2713332308092147,0.0,0.0,0.10853329232368587,0,24.53494098733788,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.558,100.6223,0.2713332308092147,0.0,0.0,0.10853329232368587,0,24.731810513098228,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5625,100.2704,0.3022898229696011,0.0,0.0,0.12091592918784044,2,36.66587786957639,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5625,100.2857,0.2713661612308926,0.0,0.0,0.10854646449235704,2,35.37536062044592,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5625,100.2908,0.2713661612308926,0.0,0.0,0.10854646449235704,2,34.95197540390568,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5625,100.2959,0.24337799156803802,0.0,0.0,0.09735119662721521,2,34.53219265941829,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5625,100.6019,0.2938002050334538,0.0,0.0,0.11752008201338152,0,23.531589951975388,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5625,100.607,0.2938002050334538,0.0,0.0,0.11752008201338152,0,23.698370476681195,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5625,100.6121,0.29262992769942975,0.0,0.0,0.1170519710797719,0,23.876706237927014,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5625,100.6682,0.3054439087368289,0.0,0.0,0.12217756349473158,0,26.52369898364209,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.5625,100.6733,0.3054439087368289,0.0,0.0,0.12217756349473158,0,26.819368823928777,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.567,100.2704,0.3524227864769283,0.0,0.0,0.14096911459077133,2,36.36066821644718,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.567,100.301,0.31039450423416476,0.0,0.0,0.12415780169366591,2,33.787962418569386,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.567,100.3061,0.31039450423416476,0.0,0.0,0.12415780169366591,2,33.37174375458376,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.567,100.3724,0.290757772244777,0.0,0.0,0.1163031088979108,2,28.382140557356628,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.567,100.5917,0.23836580398571197,0.0,0.0,0.0953463215942848,0,22.749295891025714,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.5968,0.23836580398571197,0.0,0.0,0.0953463215942848,0,22.895256591480383,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.567,100.6019,0.33985944253785555,0.0,0.0,0.13594377701514224,0,23.053467713386382,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.567,100.607,0.33985944253785555,0.0,0.0,0.13594377701514224,0,23.223678890607015,URBAN,120000.0,20.0,547500.0,3.26,True,True,True
13.567,100.6121,0.47688467344996394,0.0,0.0,0.1907538693799856,0,23.405628322738576,URBAN,120000.0,24.0,657000.0,2.65,True,True,True
13.567,100.6376,0.2928294228549988,0.0,0.0,0.11713176914199952,0,24.48170015376908,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
